ticker,reason,date_added
067990,liquidity,2025-05-13
034590,liquidity,2025-05-13
080470,liquidity,2025-05-13
001770,liquidity,2025-05-13
263050,liquidity,2025-05-13
127980,liquidity,2025-05-13
009770,liquidity,2025-05-13
184230,liquidity,2025-05-13
146060,liquidity,2025-05-13
041650,liquidity,2025-05-13
066900,liquidity,2025-05-13
303360,liquidity,2025-05-13
036010,liquidity,2025-05-13
197140,liquidity,2025-05-13
214310,liquidity,2025-05-13
100030,liquidity,2025-05-13
234100,liquidity,2025-05-13
222810,liquidity,2025-05-13
005680,liquidity,2025-05-13
014790,liquidity,2025-05-13
053620,liquidity,2025-05-13
012620,liquidity,2025-05-13
042420,liquidity,2025-05-13
026910,liquidity,2025-05-13
317690,liquidity,2025-05-13
214330,liquidity,2025-05-13
123750,liquidity,2025-05-13
027970,liquidity,2025-05-13
078940,liquidity,2025-05-13
036690,liquidity,2025-05-13
159910,liquidity,2025-05-13
006570,liquidity,2025-05-13
004780,liquidity,2025-05-13
000230,liquidity,2025-05-13
163560,liquidity,2025-05-13
083470,liquidity,2025-05-13
036710,liquidity,2025-05-13
007690,liquidity,2025-05-13
003300,liquidity,2025-05-13
037330,liquidity,2025-05-13
188260,liquidity,2025-05-13
015230,liquidity,2025-05-13
147760,liquidity,2025-05-13
067370,liquidity,2025-05-13
122350,liquidity,2025-05-13
035460,liquidity,2025-05-13
009300,liquidity,2025-05-13
011560,liquidity,2025-05-13
106190,liquidity,2025-05-13
001460,liquidity,2025-05-13
130580,liquidity,2025-05-13
043590,liquidity,2025-05-13
100660,liquidity,2025-05-13
005720,liquidity,2025-05-13
226360,liquidity,2025-05-13
088280,liquidity,2025-05-13
001080,liquidity,2025-05-13
215380,liquidity,2025-05-13
005750,liquidity,2025-05-13
259630,liquidity,2025-05-13
052770,liquidity,2025-05-13
306040,liquidity,2025-05-13
015890,liquidity,2025-05-13
267980,liquidity,2025-05-13
169330,liquidity,2025-05-13
018620,liquidity,2025-05-13
079430,liquidity,2025-05-13
115480,liquidity,2025-05-13
291650,liquidity,2025-05-13
134060,liquidity,2025-05-13
083640,liquidity,2025-05-13
004720,liquidity,2025-05-13
004270,liquidity,2025-05-13
036000,liquidity,2025-05-13
009320,liquidity,2025-05-13
085910,liquidity,2025-05-13
010600,liquidity,2025-05-13
079170,liquidity,2025-05-13
018700,liquidity,2025-05-13
000760,liquidity,2025-05-13
215790,liquidity,2025-05-13
054620,liquidity,2025-05-13
017890,liquidity,2025-05-13
011280,liquidity,2025-05-13
073640,liquidity,2025-05-13
078130,liquidity,2025-05-13
010580,liquidity,2025-05-13
006980,liquidity,2025-05-13
136410,liquidity,2025-05-13
025770,liquidity,2025-05-13
367000,liquidity,2025-05-13
273640,liquidity,2025-05-13
065510,liquidity,2025-05-13
307750,liquidity,2025-05-13
120240,liquidity,2025-05-13
014200,liquidity,2025-05-13
002920,liquidity,2025-05-13
179530,liquidity,2025-05-13
075180,liquidity,2025-05-13
109860,liquidity,2025-05-13
003060,liquidity,2025-05-13
072950,liquidity,2025-05-13
080000,liquidity,2025-05-13
068790,liquidity,2025-05-13
032750,liquidity,2025-05-13
215360,liquidity,2025-05-13
044960,liquidity,2025-05-13
227840,liquidity,2025-05-13
050110,liquidity,2025-05-13
149980,liquidity,2025-05-13
100590,liquidity,2025-05-13
002420,liquidity,2025-05-13
023900,liquidity,2025-05-13
001130,liquidity,2025-05-13
004440,liquidity,2025-05-13
012030,liquidity,2025-05-13
123840,liquidity,2025-05-13
418250,liquidity,2025-05-13
076080,liquidity,2025-05-13
025890,liquidity,2025-05-13
082660,liquidity,2025-05-13
001510,liquidity,2025-05-13
074430,liquidity,2025-05-13
089150,liquidity,2025-05-13
114630,liquidity,2025-05-13
099390,liquidity,2025-05-13
005820,liquidity,2025-05-13
052670,liquidity,2025-05-13
054940,liquidity,2025-05-13
003080,liquidity,2025-05-13
272550,liquidity,2025-05-13
002690,liquidity,2025-05-13
000480,liquidity,2025-05-13
047080,liquidity,2025-05-13
001630,liquidity,2025-05-13
090150,liquidity,2025-05-13
241820,liquidity,2025-05-13
365900,liquidity,2025-05-13
001020,liquidity,2025-05-13
131030,liquidity,2025-05-13
258830,liquidity,2025-05-13
039290,liquidity,2025-05-13
137080,liquidity,2025-05-13
036800,liquidity,2025-05-13
307280,liquidity,2025-05-13
210540,liquidity,2025-05-13
099520,liquidity,2025-05-13
032960,liquidity,2025-05-13
150840,liquidity,2025-05-13
014910,liquidity,2025-05-13
268600,liquidity,2025-05-13
039560,liquidity,2025-05-13
088800,liquidity,2025-05-13
080420,liquidity,2025-05-13
255440,liquidity,2025-05-13
000040,trading_halt,2025-05-21
000050,trading_halt,2025-05-21
000070,trading_halt,2025-05-21
000080,trading_halt,2025-05-21
000210,trading_halt,2025-05-21
000220,trading_halt,2025-05-21
000240,trading_halt,2025-05-21
