종목코드,섹터코드,섹터명
011320,CD,임의소비재
011330,CD,임의소비재
012200,CD,임의소비재
012280,CD,임의소비재
012330,CD,임의소비재
012860,CD,임의소비재
013310,CD,임의소비재
013520,CD,임의소비재
013720,CD,임의소비재
013870,CD,임의소비재
013890,CD,임의소비재
013990,CD,임의소비재
014470,CD,임의소비재
014990,CD,임의소비재
015260,CD,임의소비재
015750,CD,임의소비재
016090,CD,임의소비재
016450,CD,임의소비재
016740,CD,임의소비재
017250,CD,임의소비재
017370,CD,임의소비재
018500,CD,임의소비재
018880,CD,임의소비재
019010,CD,임의소비재
019180,CD,임의소비재
019540,CD,임의소비재
019680,CD,임의소비재
019770,CD,임의소비재
020000,CD,임의소비재
020400,CD,임의소비재
021240,CD,임의소비재
021820,CD,임의소비재
023530,CD,임의소비재
023800,CD,임의소비재
023810,CD,임의소비재
024120,CD,임의소비재
024740,CD,임의소비재
024830,CD,임의소비재
024840,CD,임의소비재
024900,CD,임의소비재
024910,CD,임의소비재
024940,CD,임의소비재
024950,CD,임의소비재
025440,CD,임의소비재
025530,CD,임의소비재
025980,CD,임의소비재
026040,CD,임의소비재
031430,CD,임의소비재
031440,CD,임의소비재
031510,CD,임의소비재
031860,CD,임의소비재
032080,CD,임의소비재
032350,CD,임의소비재
032540,CD,임의소비재
032750,CD,임의소비재
033250,CD,임의소비재
033290,CD,임의소비재
033340,CD,임의소비재
033530,CD,임의소비재
034230,CD,임의소비재
035080,CD,임의소비재
035150,CD,임의소비재
035250,CD,임의소비재
035290,CD,임의소비재
036030,CD,임의소비재
036530,CD,임의소비재
036620,CD,임의소비재
037070,CD,임의소비재
037710,CD,임의소비재
038110,CD,임의소비재
039010,CD,임의소비재
039130,CD,임의소비재
039830,CD,임의소비재
039980,CD,임의소비재
040420,CD,임의소비재
041650,CD,임의소비재
041930,CD,임의소비재
043370,CD,임의소비재
044340,CD,임의소비재
046070,CD,임의소비재
046310,CD,임의소비재
047400,CD,임의소비재
047770,CD,임의소비재
048430,CD,임의소비재
050120,CD,임의소비재
051630,CD,임의소비재
053060,CD,임의소비재
053270,CD,임의소비재
053280,CD,임의소비재
053290,CD,임의소비재
053700,CD,임의소비재
056080,CD,임의소비재
057030,CD,임의소비재
057050,CD,임의소비재
057880,CD,임의소비재
060240,CD,임의소비재
060570,CD,임의소비재
060980,CD,임의소비재
063170,CD,임의소비재
064960,CD,임의소비재
065060,CD,임의소비재
065150,CD,임의소비재
065500,CD,임의소비재
066130,CD,임의소비재
066570,CD,임의소비재
066590,CD,임의소비재
066620,CD,임의소비재
066910,CD,임의소비재
067280,CD,임의소비재
067570,CD,임의소비재
067830,CD,임의소비재
067990,CD,임의소비재
